,movie,year,rate,votes,description,genre,minutes,director
181,Camp X-Ray,2014,6.9,35729,    A soldier assigned to Guantanamo Bay befriends a man who has been imprisoned there.,"
Drama, War            ",117,Peter Sattler
182, Juego de tronos,2011– ,9.7,35473,"    Theon helps Ramsay seize Moat Cailin. The wildlings attack Mole's Town. Sansa comes up with a story to protect Lord Baelish. Daenerys finds out a secret about Jorah Mormont. Oberyn Martell faces Gregor Clegane, the Mountain.","
Action, Adventure, Drama            ",52,Alex Graves
183,Ojalá estuviera aquí,2014,6.7,34078,"    A struggling actor, father and husband finds himself at a major crossroads, which forces him to examine his life, his family and his career.","
Comedy, Drama            ",106,Zach Braff
184,Winter Sleep - Sueño de invierno,2014,8.2,34008,    A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,"
Drama            ",196,Nuri Bilge Ceylan
185,Maps to the Stars,2014,6.2,33556,"    A tour into the heart of a Hollywood family chasing celebrity, one another and the relentless ghosts of their pasts.","
Comedy, Drama            ",111,David Cronenberg
186,Ich seh ich seh,2014,6.7,33422,"    Twin boys move to a new home with their mother after she has face changing cosmetic surgery, but under her bandages is someone the children don't recognize.","
Horror, Mystery, Thriller            ",99,Severin Fiala
187,El caso Fischer,2014,7.0,33022,"    Set during the Cold War, American chess prodigy Bobby Fischer finds himself caught between two superpowers and his own struggles as he challenges the Soviet Empire.","
Biography, Drama, Sport            ",115,Edward Zwick
188, Black Mirror,2011– ,9.2,32387,    Three interconnected tales of technology run amok during the Christmas season are told by two men at a remote outpost in a frozen wilderness.,"
Drama, Sci-Fi, Thriller            ",73,Carl Tibbetts
189,Redirected,2014,6.7,32298,    Three friends try to make money and invite another friend in on a plot.,"
Action, Comedy, Crime            ",99,Emilis Velyvis
190,Cake,II 2014,6.4,32225,"    Claire becomes fascinated by the suicide of a woman in her chronic pain support group while grappling with her own, very raw personal tragedy.","
Drama            ",102,Daniel Barnz
191, Juego de tronos,2011– ,9.7,31920,    Tyrion's trial has come. Yara and her troops storm the Dreadfort to free Theon. Daenerys meets Hizdar zo Loraq. Stannis makes a deal with the Iron Bank of Braavos.,"
Action, Adventure, Drama            ",51,Alik Sakharov
192,"Dios mío, ¿pero qué te hemos hecho?",2014,7.0,31919,    A Catholic French couple sees their life upside down when their four daughters get married to men of different religion and origins.,"
Comedy            ",97,Philippe de Chauveron
193,The Salvation,2014,6.7,31556,"    In 1870s America, the fury of a notorious gang leader is unleashed when a peaceful American settler avenges the death of his family. Then as his cowardly fellow townspeople betray him, he is forced to hunt down the outlaws alone.","
Drama, Western            ",92,Kristian Levring
194,Desaparecidos sin rastro,I 2014,3.1,31327,    A small group of survivors are left behind after millions of people suddenly vanish and the world is plunged into chaos and destruction.,"
Action, Drama, Fantasy            ",110,Vic Armstrong
195,The Affair,2014– ,8.0,31064,    A struggling novelist and a young waitress strike up an extramarital relationship that promises to forever change the course of their lives.,"
Drama            ",60,Dominic West
196,Love & Mercy,2014,7.4,30973,"    In the 1960s, Beach Boys leader Brian Wilson struggles with emerging psychosis as he attempts to craft his avant-garde pop masterpiece. In the 1980s, he is a broken, confused man under the 24-hour watch of shady therapist Dr. Eugene Landy.","
Biography, Drama, Music            ",121,Bill Pohlad
197,Frío en julio,2014,6.8,30847,"    When a protective father meets a murderous ex-con, both need to deviate from the path they are on as they soon find themselves entangled in a downwards spiral of lies and violence while having to confront their own inner psyche.","
Crime, Thriller            ",109,Jim Mickle
198,Black Sea: Mar tenebroso,2014,6.4,30584,"    In order to make good with his former employers, a submarine captain takes a job with a shadowy backer to search the depths of the Black Sea for a submarine rumored to be loaded with gold.","
Adventure, Drama, Thriller            ",114,Kevin Macdonald
199,Happy New Year,I 2014,5.2,30452,    A gang of an amateur dancers takes part in a dancing competition to avenge their personal vendetta.,"
Action, Comedy, Musical            ",180,Farah Khan
200,Star Wars: Episodio VII - El despertar de la Fuerza,2015,8.0,756412,"    Three decades after the Empire's defeat, a new threat arises in the militant First Order. Stormtrooper defector Finn and the scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker.","
Action, Adventure, Fantasy            ",136,J.J. Abrams
201,Mad Max: Furia en la carretera,2015,8.1,739096,"    In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","
Action, Adventure, Sci-Fi            ",120,George Miller
202,Marte,2015,8.0,639328,"    An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.","
Adventure, Drama, Sci-Fi            ",144,Ridley Scott
203,Vengadores: La era de Ultrón,2015,7.4,608564,"    When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.","
Action, Adventure, Sci-Fi            ",141,Joss Whedon
204,El renacido,2015,8.0,579488,    A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,"
Action, Adventure, Biography            ",156,Alejandro G. Iñárritu
205,Jurassic World,2015,7.0,516552,"    A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree.","
Action, Adventure, Sci-Fi            ",124,Colin Trevorrow
206,Del revés (Inside Out),I 2015,8.2,501971,"    After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","
Animation, Adventure, Comedy            ",95,Pete Docter
207,Ant-Man,2015,7.3,453682,"    Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.","
Action, Adventure, Comedy            ",117,Peyton Reed
208,Los odiosos ocho,2015,7.8,406142,"    In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.","
Crime, Drama, Mystery            ",187,Quentin Tarantino
209,Spectre,I 2015,6.8,340045,"    A cryptic message from 007 past sends him pitted against a mysterious terrorist organization called Spectre, and learns of its involvement in previous events of his most dangerous missions.","
Action, Adventure, Thriller            ",148,Sam Mendes
210,Spotlight,I 2015,8.1,339695,"    The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","
Crime, Drama, History            ",129,Tom McCarthy
211,Fast & Furious 7,2015,7.2,325661,    Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"
Action, Crime, Thriller            ",137,James Wan
212,Sicario,2015,7.6,308220,    An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,"
Action, Crime, Drama            ",121,Denis Villeneuve
213,Daredevil,2015– ,8.7,301085,"    A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","
Action, Crime, Drama            ",54,Charlie Cox
214,Misión imposible: Nación secreta,2015,7.4,295074,"    Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.","
Action, Adventure, Thriller            ",131,Christopher McQuarrie
215,La habitación,I 2015,8.2,289767,"    Held captive for years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.","
Drama, Thriller            ",118,Lenny Abrahamson
216,La gran apuesta,2015,7.8,289451,    In 2006-7 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,"
Biography, Comedy, Drama            ",130,Adam McKay
217,Cincuenta sombras de Grey,2015,4.1,268989,"    Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.","
Drama, Romance, Thriller            ",125,Sam Taylor-Johnson
218,Narcos,2015–2017,8.8,265389,"    A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","
Biography, Crime, Drama            ",49,Pedro Pascal
219,Mr. Robot,2015– ,8.6,263298,"    Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","
Crime, Drama, Thriller            ",49,Rami Malek
220,El puente de los espías,2015,7.6,251038,"    During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.","
Drama, History, Thriller            ",142,Steven Spielberg
221,Los juegos del hambre: Sinsajo - Parte 2,2015,6.5,236923,    Katniss and a team of rebels from District 13 prepare for the final battle that will decide the future of Panem.,"
Action, Adventure, Sci-Fi            ",137,Francis Lawrence
222,Operación U.N.C.L.E.,2015,7.3,231004,"    In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.","
Action, Adventure, Comedy            ",116,Guy Ritchie
223,Better Call Saul,2015– ,8.7,230956,"    The trials and tribulations of criminal lawyer, Jimmy McGill, in the time leading up to establishing his strip-mall law office in Albuquerque, New Mexico.","
Crime, Drama            ",46,Bob Odenkirk
224,Terminator: Génesis,2015,6.5,226022,"    When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.","
Action, Adventure, Sci-Fi            ",126,Alan Taylor
225,Espías,2015,7.0,207350,"    A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.","
Action, Comedy, Crime            ",119,Paul Feig
226,Chappie,2015,6.8,207238,"    In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.","
Action, Crime, Drama            ",120,Neill Blomkamp
227,Creed: La leyenda de Rocky,2015,7.6,202770,"    The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.","
Drama, Sport            ",133,Ryan Coogler
228,La serie Divergente: Insurgente,2015,6.2,191569,    Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,"
Action, Adventure, Sci-Fi            ",119,Robert Schwentke
229,Redención,2015,7.4,191550,"    A champion boxer fights to get his daughter back from child protective services as well as revive his professional career, after a fatal incident sends him on a rampant path of destruction.","
Drama, Sport            ",124,Antoine Fuqua
230,El corredor del laberinto: Las pruebas,2015,6.3,190893,"    After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles.","
Action, Sci-Fi, Thriller            ",131,Wes Ball
231,Focus,II 2015,6.6,184753,"    In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.","
Comedy, Crime, Drama            ",105,Glenn Ficarra
232,Los minions,2015,6.4,183732,"    Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.","
Animation, Action, Adventure            ",91,Kyle Balda
233,El becario,I 2015,7.1,182827,"    Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.","
Comedy, Drama            ",121,Nancy Meyers
234,San Andrés,2015,6.1,182280,"    In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter.","
Action, Adventure, Drama            ",114,Brad Peyton
235,Everest,2015,7.1,174462,"    The story of New Zealand's Robert ""Rob"" Edwin Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest.","
Action, Adventure, Biography            ",121,Baltasar Kormákur
236,Jessica Jones,2015– ,8.1,162420,"    Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City.","
Action, Crime, Drama            ",56,Krysten Ritter
237,El destino de Júpiter,2015,5.3,161711,    A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,"
Action, Adventure, Sci-Fi            ",127,Lana Wachowski
238,Langosta,2015,7.1,160722,"    In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.","
Comedy, Drama, Romance            ",119,Yorgos Lanthimos
239,Straight Outta Compton,2015,7.9,159458,"    The group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.","
Biography, Drama, History            ",147,F. Gary Gray
240,Ted 2,2015,6.3,157219,"    Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.","
Comedy            ",115,Seth MacFarlane
241,Tomorrowland: El mundo del mañana,2015,6.5,157083,"    Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.","
Action, Adventure, Family            ",130,Brad Bird
242,Black Mass: Estrictamente criminal,2015,6.9,150703,"    The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.","
Biography, Crime, Drama            ",123,Scott Cooper
243,La bruja,2015,6.8,138377,"    A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession.","
Horror, Mystery            ",92,Robert Eggers
244,La chica danesa,2015,7.1,136761,    A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.,"
Biography, Drama, History            ",119,Tom Hooper
245,Cuatro Fantásticos,2015,4.3,135434,    Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.,"
Action, Adventure, Sci-Fi            ",100,Josh Trank
246,Cenicienta,I 2015,6.9,134517,"    When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her scheming step-sisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.","
Drama, Family, Fantasy            ",105,Kenneth Branagh
247,Steve Jobs,2015,7.2,133528,"    Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac.","
Biography, Drama            ",122,Danny Boyle
248,El secreto de Adaline,2015,7.2,131280,"    A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.","
Drama, Fantasy, Romance            ",112,Lee Toland Krieger
249,Legend,I 2015,7.0,130552,    Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.,"
Biography, Crime, Drama            ",132,Brian Helgeland
250,Dando la nota: Aún más alto,2015,6.4,124742,"    After a humiliating commando performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.","
Comedy, Music            ",115,Elizabeth Banks
251,Lucifer,2015– ,8.2,122809,    Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"
Crime, Drama, Fantasy            ",42,Tom Ellis
252,Y de repente tú,2015,6.2,118062,"    Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.","
Comedy, Drama, Romance            ",125,Judd Apatow
253,Sense8,2015–2018,8.4,117372,"    A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order.","
Drama, Mystery, Sci-Fi            ",60,Doona Bae
254,El regalo,VI 2015,7.1,117188,    A young married couple's lives are thrown into a harrowing tailspin when an acquaintance from the husband's past brings mysterious gifts and a horrifying secret to light after more than 20 years.,"
Drama, Mystery, Thriller            ",108,Joel Edgerton
255,Pixels: La película,2015,5.6,114938,"    When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.","
Action, Comedy, Fantasy            ",105,Chris Columbus
256,La cumbre escarlata,2015,6.5,114592,"    In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers.","
Drama, Fantasy, Horror            ",119,Guillermo del Toro
257,Joy,I 2015,6.6,112695,"    Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty.","
Drama            ",124,David O. Russell
258,Brooklyn,2015,7.5,111242,"    An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.","
Drama, Romance            ",117,John Crowley
259,"Yo, él y Raquel",2015,7.8,107896,"    High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.","
Comedy, Drama, Romance            ",105,Alfonso Gomez-Rejon
260,Dale duro,2015,6.0,106478,"    When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars.","
Comedy, Crime            ",100,Etan Cohen
261,El desafío (The Walk),II 2015,7.3,105377,"    In 1974, high-wire artist Philippe Petit recruits a team of people to help him realize his dream: to walk the immense void between the World Trade Center towers.","
Adventure, Biography, Drama            ",123,Robert Zemeckis
262,En el corazón del mar,2015,6.9,104087,"    A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick.","
Action, Adventure, Biography            ",122,Ron Howard
263,La visita,I 2015,6.2,96662,    Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.,"
Comedy, Horror, Mystery            ",94,M. Night Shyamalan
264,Fear the Walking Dead,2015– ,7.0,95620,"    A Walking Dead spin-off, set in Los Angeles, following two families who must band together to survive the undead apocalypse.","
Drama, Horror, Sci-Fi            ",44,Kim Dickens
265,Carol,2015,7.2,94078,    An aspiring photographer develops an intimate relationship with an older woman in 1950s New York.,"
Drama, Romance            ",118,Todd Haynes
266,Una noche para sobrevivir,2015,6.6,90911,"    Mobster and hit man Jimmy Conlon has one night to figure out where his loyalties lie: with his estranged son, Mike, whose life is in danger, or his longtime best friend, mob boss Shawn Maguire, who wants Mike to pay for the death of his own son.","
Action, Crime, Drama            ",114,Jaume Collet-Serra
267,Una buena receta,I 2015,6.6,90740,"    Adam Jones (Bradley Cooper) is a chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.","
Comedy, Drama            ",101,John Wells
268,Padres por desigual,2015,6.1,90646,"    Brad Whitaker is a radio host trying to get his stepchildren to love him and call him Dad. But his plans turn upside down when their biological father, Dusty Mayron, returns.","
Comedy            ",96,Sean Anders
269,Bahubali: The Beginning,2015,8.2,88917,"    In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people.","
Action, Drama, Fantasy            ",159,S.S. Rajamouli
270,El viaje de Arlo,2015,6.7,87655,"    In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend.","
Animation, Adventure, Comedy            ",93,Peter Sohn
271,Supergirl,2015– ,6.5,87612,    The adventures of Superman's cousin in her own superhero career.,"
Action, Adventure, Drama            ",43,Melissa Benoist
272,Hotel Transilvania 2,2015,6.7,85497,"    Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel.","
Animation, Comedy, Family            ",89,Genndy Tartakovsky
273,Ciudades de papel,2015,6.3,84128,"    After an all-night adventure, Quentin's lifelong crush, Margo, disappears, leaving behind clues that Quentin and his friends follow on the journey of a lifetime.","
Comedy, Drama, Mystery            ",109,Jake Schreier
274,Vacaciones,I 2015,6.1,84028,"    Rusty Griswold takes his own family on a road trip to ""Walley World"" in order to spice things up with his wife and reconnect with his sons.","
Adventure, Comedy            ",99,John Francis Daley
275,Home: Hogar dulce hogar,II 2015,6.6,83371,"    An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference.","
Animation, Adventure, Comedy            ",94,Tim Johnson
276,Green Room,2015,7.0,82060,    A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.,"
Horror, Thriller            ",95,Jeremy Saulnier
277,El último cazador de brujas,2015,6.0,81990,    The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.,"
Action, Adventure, Fantasy            ",106,Breck Eisner
278,Hitman: Agente 47,2015,5.7,78118,    An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.,"
Action, Adventure, Crime            ",96,Aleksander Bach
279,Insidious: Capítulo 3,2015,6.1,77773,    A prequel set before the haunting of the Lambert family that reveals how gifted psychic Elise Rainier reluctantly agrees to use her ability to contact the dead in order to help a teenage girl who has been targeted by a dangerous supernatural entity.,"
Horror, Mystery, Thriller            ",97,Leigh Whannell
280,Eternal,2015,6.5,77320,"    A dying real estate mogul transfers his consciousness into a healthy young body, but soon finds that neither the procedure nor the company that performed it are quite what they seem.","
Action, Mystery, Sci-Fi            ",117,Tarsem Singh
281,Dope,2015,7.2,74499,"    Life changes for Malcolm, a geek who's surviving life in a tough neighborhood, after a chance invitation to an underground party leads him and his friends into a Los Angeles adventure.","
Comedy, Crime, Drama            ",103,Rick Famuyiwa
282,La verdad duele,2015,7.1,73865,"    In Pittsburgh, accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play.","
Biography, Drama, Sport            ",123,Peter Landesman
283,Hardcore Henry,2015,6.7,73653,"    Henry is resurrected from death with no memory, and he must save his wife from a telekinetic warlord with a plan to bio-engineer soldiers.","
Action, Adventure, Sci-Fi            ",96,Ilya Naishuller
284,American Ultra,2015,6.1,73572,    A stoner - who is in fact a government agent - is marked as a liability and targeted for extermination. But he's too well-trained and too high for them to handle.,"
Action, Comedy, Sci-Fi            ",96,Nima Nourizadeh
285,Demolición,2015,7.0,73073,"    A successful investment banker struggles after losing his wife in a tragic car crash. With the help of a customer service rep and her young son, he starts to rebuild, beginning with the demolition of the life he once knew.","
Comedy, Drama            ",101,Jean-Marc Vallée
286,Eddie el Águila,2015,7.4,70471,"    The story of Eddie Edwards, the notoriously tenacious British underdog ski jumper who charmed the world at the 1988 Winter Olympics.","
Biography, Comedy, Drama            ",106,Dexter Fletcher
287,One Punch Man,2015– ,8.9,70378,"    The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.","
Animation, Action, Comedy            ",24,Makoto Furukawa
288, Juego de tronos,2011– ,9.9,69810,    Tyrion advises Daenerys. Sansa forces Theon to tell her a secret. Cersei remains stubborn. Arya meets her first target. Jon and Tormund meet with the wildling elders.,"
Action, Adventure, Drama            ",61,Miguel Sapochnik
289,Entourage (El séquito),2015,6.6,69640,"    Movie star Vincent Chase, together with his boys Eric, Turtle, and Johnny, are back - and back in business with super agent-turned-studio head Ari Gold on a risky project that will serve as Vince's directorial debut.","
Comedy            ",104,Doug Ellin
290,Espías desde el cielo,2015,7.3,69587,"    Col. Katherine Powell, a military officer in command of an operation to capture terrorists in Kenya, sees her mission escalate when a girl enters the kill zone triggering an international dispute over the implications of modern warfare.","
Drama, Thriller, War            ",102,Gavin Hood
291,Project Almanac,2015,6.4,69414,"    A group of teens discover secret plans of a time machine, and construct one. However, things start to get out of control.","
Drama, Mystery, Sci-Fi            ",106,Dean Israelite
292,El último baile,2015,6.5,69366,"    A high school senior instigates a social pecking order revolution after finding out that she has been labeled the DUFF - Designated Ugly Fat Friend - by her prettier, more popular counterparts.","
Comedy, Romance            ",101,Ari Sandel
293,Making a Murderer,2015– ,8.6,67214,"    Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.","
Documentary, Crime            ",60,Dolores Avery
294,Golpe de estado,I 2015,6.8,67174,"    In their new overseas house, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape from an environment where foreigners are being immediately executed.","
Action, Thriller            ",103,John Erick Dowdle
295,Pesadillas,2015,6.3,67170,"    A teenager teams up with the daughter of young adult horror author R. L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.","
Adventure, Comedy, Family            ",103,Rob Letterman
296,El viaje más largo,2015,7.1,67142,"    The lives of a young couple intertwine with a much older man, as he reflects back on a past love.","
Drama, Romance            ",123,George Tillman Jr.
297,Trumbo: La lista negra de Hollywood,2015,7.5,66298,"    In 1947, Dalton Trumbo was Hollywood's top screenwriter, until he and other artists were jailed and blacklisted for their political beliefs.","
Biography, Drama            ",124,Jay Roach
298,El gurú de las bodas,2015,6.7,65033,"    Two weeks shy of his wedding, a socially awkward guy enters into a charade by hiring the owner of a company that provides best men for grooms in need.","
Comedy            ",101,Jeremy Garelick
299,Toc Toc,I 2015,4.9,64640,"    A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.","
Drama, Horror, Thriller            ",99,Eli Roth
300,Agente Carter,2015–2016,8.0,63108,"    In 1946, Peggy Carter is relegated to secretarial duties in the Strategic Scientific Reserve (SSR). When Howard Stark is accused of treason, he secretly recruits Peggy to clear his name with the help of his butler, Edwin Jarvis.","
Action, Adventure, Sci-Fi            ",42,Hayley Atwell
301,Bone Tomahawk,2015,7.1,62861,"    In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers.","
Adventure, Drama, Horror            ",132,S. Craig Zahler
302,La invitación,I 2015,6.7,61649,"    A man accepts an invitation to a dinner party hosted by his ex-wife, an unsettling affair that reopens old wounds and creates new tensions.","
Drama, Horror, Mystery            ",100,Karyn Kusama
303,La juventud,I 2015,7.3,61458,    A retired orchestra conductor is on vacation with his daughter and his film director best friend in the Alps when he receives an invitation from Queen Elizabeth II to perform for Prince Philip's birthday.,"
Comedy, Drama, Music            ",124,Paolo Sorrentino
304,The Expanse,2015– ,8.4,60694,"    A police detective in the asteroid belt, the first officer of an interplanetary ice freighter and an earth-bound United Nations executive slowly discover a vast conspiracy that threatens the Earth's rebellious colony on the asteroid belt.","
Drama, Mystery, Sci-Fi            ",60,Steven Strait
305,Bajrangi Bhaijaan,2015,8.0,59970,    An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,"
Action, Comedy, Drama            ",163,Kabir Khan
306,Beasts of No Nation,2015,7.8,59652,"    A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.","
Drama, War            ",137,Cary Joji Fukunaga
307,El hombre en el castillo,2015– ,8.1,59409,"    In a dystopian America dominated by Nazi Germany and Imperial Japan, a young woman discovers a mysterious film that may hold the key to toppling the totalitarian regimes.","
Drama, Sci-Fi, Thriller            ",60,Alexa Davalos
308,American Crime Story,2016– ,8.5,58945,    An anthology series centered around America's most notorious crimes and criminals.,"
Biography, Crime, Drama            ",42,Sarah Paulson
309,Mortdecai,2015,5.5,58410,"    Juggling angry Russians, the British Mi5, and an international terrorist, debonair art dealer and part-time rogue Charlie Mortdecai races to recover a stolen painting rumored to contain a code that leads to lost gold.","
Action, Comedy, Crime            ",107,David Koepp
310,Hermanísimas,III 2015,6.0,57037,    Two sisters decide to throw one last house party before their parents sell their family home.,"
Comedy            ",118,Jason Moore
311,Blindspot,2015– ,7.5,56647,    Jane Doe is found in Times Square with no memory and mysterious tattoos on her body.,"
Action, Crime, Drama            ",42,Sullivan Stapleton
312,Mr. Holmes,2015,6.9,56272,"    An aged, retired Sherlock Holmes deals with early dementia, as he tries to remember his final case, and a mysterious woman, whose memory haunts him. He also befriends a fan, the young son of his housekeeper, who wants him to work again.","
Drama, Mystery            ",104,Bill Condon
