,movie,year,rate,votes,description,genre,minutes,director
390,Experimento en la prisión de Stanford,2015,6.9,30254,"    In 1971, twenty-four male students are selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.","
Biography, Drama, History            ",122,Kyle Patrick Alvarez
391,Ballers,2015– ,7.6,30243,"    A series centered around a group of football players and their families, friends, and handlers.","
Comedy, Drama, Sport            ",30,Dwayne Johnson
392,McFarland,2015,7.4,30234,    Jim White moves his family after losing his last job as a football coach. He sees that some of the students are worth starting a cross-country team and turns seven students with no hope into one of the best cross-country teams.,"
Biography, Drama, Sport            ",129,Niki Caro
393,Scream Queens,2015–2016,7.1,29989,"    A semi-anthology series that centers on returning characters being terrorized by a serial killer in different locations, including a university and a hospital.","
Comedy, Horror, Mystery            ",45,Emma Roberts
394, Juego de tronos,2011– ,9.5,29796,    Jon and the wildlings return to Castle Black. Jaime meets with Doran Martell. Stannis makes a hard choice. Arya runs into Meryn Trant. Daenerys attends the grand reopening of the fighting pits.,"
Action, Adventure, Drama            ",52,David Nutter
395,Superpoli en Las Vegas,2015,4.4,29589,"    After six years of keeping our malls safe, Paul Blart has earned a well-deserved vacation. He heads to Las Vegas with his teenage daughter before she heads off to college. But safety never takes a holiday and when duty calls, Blart answers.","
Action, Comedy, Crime            ",94,Andy Fickman
396,Mustang,2015,7.6,28984,"    When five orphan girls are seen innocently playing with boys on a beach, their scandalized conservative guardians confine them while forced marriages are arranged.","
Drama            ",97,Deniz Gamze Ergüven
397, Juego de tronos,2011– ,9.0,28959,    Stannis arrives at Winterfell. Tyrion runs Meereen as Daario and Jorah go after Daenerys. Jaime and Myrcella leave Dorne. Jon sends Sam and Gilly to Oldtown. Arya challenges the Many-Faced God. Cersei confesses her sins.,"
Action, Adventure, Drama            ",60,David Nutter
398,Las últimas supervivientes,2015,6.6,28585,"    A young woman grieving the loss of her mother, a famous scream queen from the 1980s, finds herself pulled into the world of her mom's most famous movie. Reunited, the women must fight off the film's maniacal killer.","
Comedy, Horror            ",88,Todd Strauss-Schulson
399,Scream,2015– ,7.3,28151,    A serialized anthology series that follows a group of teenagers being targeted by a masked serial killer.,"
Crime, Drama, Horror            ",45,Willa Fitzgerald
400,Deadpool,2016,8.0,768384,    A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.,"
Action, Adventure, Comedy            ",108,Tim Miller
401,Batman v Superman: El amanecer de la justicia,2016,6.6,548818,"    Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.","
Action, Adventure, Fantasy            ",151,Zack Snyder
402,Capitán América: Civil War,2016,7.8,527041,    Political involvement in the Avengers' activities causes a rift between Captain America and Iron Man.,"
Action, Adventure, Sci-Fi            ",147,Anthony Russo
403,Stranger Things,2016– ,8.9,521724,"    When a young boy disappears, his mother, a police chief, and his friends must confront terrifying forces in order to get him back.","
Drama, Fantasy, Horror            ",51,Millie Bobby Brown
404,Escuadrón suicida,2016,6.1,497119,    A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,"
Action, Adventure, Fantasy            ",123,David Ayer
405,La llegada,II 2016,7.9,473845,    A linguist is recruited by the military to communicate with alien lifeforms after twelve mysterious spacecrafts land around the world.,"
Drama, Mystery, Sci-Fi            ",116,Denis Villeneuve
406,Doctor Strange (Doctor Extraño),2016,7.5,453690,"    While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.","
Action, Adventure, Fantasy            ",115,Scott Derrickson
407,Rogue One: Una historia de Star Wars,2016,7.8,445261,    The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.,"
Action, Adventure, Sci-Fi            ",133,Gareth Edwards
408,La ciudad de las estrellas (La La Land),I 2016,8.1,397611,"    While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.","
Comedy, Drama, Music            ",128,Damien Chazelle
409,Zootrópolis,2016,8.0,357348,"    In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","
Animation, Adventure, Comedy            ",108,Byron Howard
410,Hasta el último hombre,2016,8.1,337550,"    World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.","
Biography, Drama, History            ",139,Mel Gibson
411,X-Men: Apocalipsis,2016,7.0,332206,"    After the re-emergence of the world's first mutant, the world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.","
Action, Adventure, Sci-Fi            ",144,Bryan Singer
412,Animales fantásticos y dónde encontrarlos,2016,7.4,318941,    The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,"
Adventure, Family, Fantasy            ",133,David Yates
413,Westworld,2016– ,8.9,309323,"    Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.","
Drama, Mystery, Sci-Fi            ",62,Evan Rachel Wood
414,Múltiple,IX 2016,7.3,288890,    Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,"
Horror, Thriller            ",117,M. Night Shyamalan
415,Passengers,I 2016,7.0,285686,"    A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.","
Drama, Romance, Sci-Fi            ",116,Morten Tyldum
416,Calle Cloverfield 10,2016,7.2,246809,"    After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.","
Drama, Horror, Mystery            ",103,Dan Trachtenberg
417,El libro de la selva,2016,7.4,230740,"    After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.","
Adventure, Drama, Family            ",106,Jon Favreau
418,Dos buenos tipos,2016,7.4,224807,"    In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.","
Action, Comedy, Crime            ",116,Shane Black
419,El contable,2016,7.4,219586,"    As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.","
Action, Crime, Drama            ",128,Gavin O'Connor
420,Warcraft: El origen,2016,6.9,217102,"    As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.","
Action, Adventure, Fantasy            ",123,Duncan Jones
421,Moonlight,I 2016,7.4,206134,"    A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami.","
Drama            ",111,Barry Jenkins
422,Vaiana,I 2016,7.6,204577,"    In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.","
Animation, Adventure, Comedy            ",107,Ron Clements
423,Star Trek: Más allá,2016,7.1,200763,"    The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.","
Action, Adventure, Sci-Fi            ",122,Justin Lin
424,Buscando a Dory,2016,7.3,200111,"    The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.","
Animation, Adventure, Comedy            ",97,Andrew Stanton
425,Ahora me ves 2,2016,6.5,199677,"    The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.","
Action, Adventure, Comedy            ",129,Jon M. Chu
426,Manchester frente al mar,2016,7.8,197859,    A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,"
Drama            ",137,Kenneth Lonergan
427,Animales nocturnos,2016,7.5,187997,"    A wealthy art gallery owner receives a draft of her ex-husband's new novel, a violent thriller she interprets as a veiled threat and a symbolic revenge tale.","
Crime, Drama, Romance            ",116,Tom Ford
428,Sully,2016,7.5,186446,"    The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.","
Biography, Drama            ",96,Clint Eastwood
429,Jason Bourne,2016,6.6,181656,    The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.,"
Action, Thriller            ",123,Paul Greengrass
430,Expediente Warren: El caso Enfield,2016,7.4,178504,    Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit.,"
Horror, Mystery, Thriller            ",134,James Wan
431,Cazafantasmas,2016,5.3,177224,"    Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.","
Action, Comedy, Fantasy            ",116,Paul Feig
432,No respires,2016,7.1,172132,"    Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.","
Crime, Horror, Thriller            ",88,Fede Alvarez
433,Lion,2016,8.1,167211,"    A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family.","
Biography, Drama            ",118,Garth Davis
434,La promesa,II 2016,6.1,162662,"    Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris.","
Drama, History            ",133,Terry George
435,Comanchería,II 2016,7.6,161541,    A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,"
Action, Crime, Drama            ",102,David Mackenzie
436,Los siete magníficos,2016,6.9,159387,    Seven gunmen in the old west gradually come together to help a poor village against savage thieves.,"
Action, Adventure, Western            ",132,Antoine Fuqua
437,Figuras ocultas,2016,7.8,157613,    The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,"
Biography, Drama, History            ",127,Theodore Melfi
438,Assassin's Creed,2016,5.8,157578,"    Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.","
Action, Adventure, Fantasy            ",115,Justin Kurzel
439, Juego de tronos,2011– ,9.9,156652,    Jon and Sansa face Ramsay Bolton on the fields of Winterfell. Daenerys strikes back at her enemies. Theon and Yara arrive in Meereen.,"
Action, Adventure, Drama            ",60,Miguel Sapochnik
440,Antes de ti,2016,7.4,155163,    A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,"
Drama, Romance            ",106,Thea Sharrock
441,La fiesta de las salchichas,2016,6.2,151268,    A sausage strives to discover the truth about his existence.,"
Animation, Adventure, Comedy            ",89,Greg Tiernan
442,Mascotas,2016,6.5,151216,"    The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.","
Animation, Adventure, Comedy            ",87,Chris Renaud
443,Independence Day: Contraataque,2016,5.2,149091,"    Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?","
Action, Adventure, Sci-Fi            ",120,Roland Emmerich
444,Captain Fantastic,2016,7.9,147187,"    In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.","
Comedy, Drama            ",118,Matt Ross
445,Juego de armas,2016,7.1,143513,"    Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.","
Comedy, Crime, Drama            ",114,Todd Phillips
446,La leyenda de Tarzán,2016,6.3,142919,"    Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.","
Action, Adventure, Drama            ",110,David Yates
447,La chica del tren,2016,6.5,140559,    A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,"
Crime, Drama, Mystery            ",112,Tate Taylor
448,El hogar de Miss Peregrine para niños peculiares,2016,6.7,133096,"    When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.","
Adventure, Drama, Fantasy            ",127,Tim Burton
449,Inferno,I 2016,6.2,129697,"    When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.","
Action, Adventure, Crime            ",121,Ron Howard
450,Un espía y medio,2016,6.3,127031,"    After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.","
Action, Comedy, Crime            ",107,Rawson Marshall Thurber
451,Marea negra,2016,7.1,125202,"    A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history.","
Action, Drama, History            ",107,Peter Berg
452,Objetivo: Londres,2016,5.9,118420,"    In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.","
Action, Thriller            ",99,Babak Najafi
453,Aliados,2016,7.1,116263,"    In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.","
Action, Drama, Romance            ",124,Robert Zemeckis
454,Jack Reacher: Nunca vuelvas atrás,2016,6.1,112324,"    Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever.","
Action, Adventure, Thriller            ",118,Edward Zwick
455,Your name.,2016,8.4,110250,"    Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","
Animation, Drama, Fantasy            ",106,Makoto Shinkai
456,Snowden,2016,7.3,110082,"    The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press.","
Biography, Drama, Thriller            ",134,Oliver Stone
457,Kung Fu Panda 3,2016,7.1,107605,"    Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.","
Animation, Action, Adventure            ",95,Alessandro Carloni
458, Juego de tronos,2011– ,9.9,107569,    Cersei and Loras Tyrell stand trial by the gods. Daenerys prepares to set sail for Westeros. Davos confronts Melisandre. Sam and Gilly arrive in the Citadel. Bran discovers a long-kept secret. Lord Frey has an uninvited guest.,"
Action, Adventure, Drama            ",68,Miguel Sapochnik
459,Dangal,2016,8.5,106493,    Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"
Action, Biography, Drama            ",161,Nitesh Tiwari
460,"¡Ave, César!",2016,6.3,105847,    A Hollywood fixer in the 1950s works to keep the studio's stars in line.,"
Comedy, Mystery            ",106,Ethan Coen
461,¡Canta!,2016,7.1,104480,"    In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.","
Animation, Comedy, Family            ",108,Garth Jennings
462,La gran muralla,I 2016,6.0,103216,    European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,"
Action, Adventure, Fantasy            ",103,Yimou Zhang
463,Infierno azul,2016,6.3,101111,"    A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.","
Drama, Horror, Thriller            ",86,Jaume Collet-Serra
464,Montaña II,2016,9.4,98288,"    In a desolate war zone where screams of the innocent echo, on the very line between disaster and valor, 7 Maroon Berets will dance with death.","
Drama, War            ",135,Alper Caglar
465,Kubo y las dos cuerdas mágicas,2016,7.8,98217,    A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,"
Animation, Action, Adventure            ",101,Travis Knight
466,13 horas: Los soldados secretos de Bengasi,2016,7.3,97420,"    During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.","
Action, Drama, History            ",144,Michael Bay
467,Train to Busan,2016,7.5,96817,"    While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.","
Action, Horror, Thriller            ",118,Sang-ho Yeon
468,Nerve: Un juego sin reglas,I 2016,6.6,96510,"    A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""","
Action, Adventure, Crime            ",96,Henry Joost
